id;file_name;file_type;file_content;file_content_content_type
1;Creative Handmade;Granite Polarised program;../fake-data/blob/hipster.png;image/png
2;Kentucky Identity;Coordinator navigate;../fake-data/blob/hipster.png;image/png
3;compress;Investment Fish;../fake-data/blob/hipster.png;image/png
4;Small reboot Berkshire;distributed;../fake-data/blob/hipster.png;image/png
5;Account Brazil Union;end-to-end Fall;../fake-data/blob/hipster.png;image/png
6;1080p Trinidad Handmade;Granite extranet Chips;../fake-data/blob/hipster.png;image/png
7;Tennessee pixel;Intelligent;../fake-data/blob/hipster.png;image/png
8;Creek Sports clear-thinking;ivory lavender;../fake-data/blob/hipster.png;image/png
9;Bike index moratorium;Fully-configurable Delaware;../fake-data/blob/hipster.png;image/png
10;Afghanistan Lithuanian holistic;indigo utilisation;../fake-data/blob/hipster.png;image/png
